N,종목명,현재가,전일비,등락률,액면가,상장주식수,시가총액,매출액,외국인비율,PER,ROE,토론실
75,코웨이,"55,200",700,1.28%,500,"40,737","73,800",61.58,"134,392",8.29,27.41,
76,SKC,"106,000",500,0.47%,"5,000","40,140","37,868",16.28,"173,194",13.68,11.6,
77,미래에셋증권,"6,500",30,0.46%,"5,000","39,996","615,316",12.72,"521,978",5.27,11.66,
78,DB손해보험,"54,700","2,300",-4.04%,500,"38,728","70,800",42.98,"356,258",4.04,13.38,
79,오리온,"97,800",800,0.82%,500,"38,666","39,536",35.89,"73,098",13.23,12.75,
80,현대미포조선,"95,100","1,200",1.28%,"5,000","37,985","39,942",19.67,"159,513",-90.14,-7.11,
81,한화에어로스페이스,"73,700","2,700",3.80%,"5,000","37,314","50,630",22.46,"1,155,873",24.16,9.21,
82,롯데지주,"35,550",150,0.42%,200,"37,295","104,909",9.99,"117,500",11.18,4.61,
83,메리츠화재,"32,600",400,1.24%,500,"37,093","113,783",11.16,"122,391",4.85,26.12,
84,삼성카드,"31,100",100,0.32%,"5,000","36,032","115,859",6.51,"64,045",6.16,7.53,
85,두산밥캣,"35,500",100,0.28%,500,"35,588","100,249",26.43,"182,630",8.5,9.19,
86,에스디바이오센서,"32,200",100,0.31%,500,"33,253","103,271",14.77,"281,428",2.85,72.47,
87,한국가스공사,"36,000",350,0.98%,"5,000","33,233","92,313",10.78,"281,905",2.42,11.63,
88,메리츠금융지주,"25,850","2,000",8.39%,500,"32,977","127,572",6.52,"265,916",3.47,22.33,
89,TIGER 차이나전기차SOLACTIVE,"14,025",375,-2.60%,0,"32,628","232,640",1,"4,902,901",N/A,N/A,
90,한미약품,"262,000","8,000",3.15%,"2,500","32,273","12,318",15.49,"40,655",40.95,8.75,
91,현대오토에버,"116,000",500,0.43%,500,"31,812","27,424",2.13,"32,947",41.08,7.26,
92,BGF리테일,"181,500","4,500",-2.42%,"1,000","31,370","17,284",32.46,"51,301",18.63,19.61,
93,KODEX KOFR금리액티브(합성),"101,205",5,0.00%,0,"31,151","30,780",2.01,"177,688",N/A,N/A,
94,NH투자증권,"9,270",170,1.87%,"5,000","30,745","331,666",12.86,"624,553",4.77,14.77,
95,삼성증권,"33,450",750,2.29%,"5,000","29,871","89,300",27.12,"349,736",4.26,16.94,
